subjects,roi,condition,trial,TR3,TR4,TR5,TR6
ag151024,nacc,drugs,trial1,0.18528,-0.41388,-0.37126,-0.29429
ag151024,nacc,drugs,trial10,0.018619,-0.029911,-0.22776,-0.12869
ag151024,nacc,drugs,trial11,-0.54861,-0.25284,-1.0357,-0.54345
ag151024,nacc,drugs,trial12,-0.24137,0.13941,-0.24062,0.37318
ag151024,nacc,drugs,trial13,-0.0064508,-0.99295,-0.36746,-0.74767
ag151024,nacc,drugs,trial14,0.60175,-0.14927,-0.17232,0.65985
ag151024,nacc,drugs,trial15,-0.80298,-0.31781,0.45336,0.7089
ag151024,nacc,drugs,trial16,-0.59274,-0.83336,0.32233,0.19517
ag151024,nacc,drugs,trial17,-0.21444,-0.1758,-0.12789,0.48152
ag151024,nacc,drugs,trial18,0.23873,-0.16063,0.46088,-0.32367
ag151024,nacc,drugs,trial2,-0.19913,-0.31844,-0.12988,-0.18891
ag151024,nacc,drugs,trial3,-0.36494,-0.091991,-0.14376,-0.01045
ag151024,nacc,drugs,trial4,-0.10962,-0.30597,0.091132,0.45419
ag151024,nacc,drugs,trial5,-0.19914,0.10827,0.40608,0.14422
ag151024,nacc,drugs,trial6,-0.25498,0.069145,0.34166,0.66704
ag151024,nacc,drugs,trial7,-0.16353,0.012932,0.12152,0.36571
ag151024,nacc,drugs,trial8,-0.12327,-0.14877,-0.059704,0.14784
ag151024,nacc,drugs,trial9,0.38844,-0.26835,0.21536,-0.30448
ag151024,nacc,food,trial1,-0.26669,0.29949,0.17989,-0.099263
ag151024,nacc,food,trial10,-0.27126,0.11965,-0.2611,0.4612
ag151024,nacc,food,trial11,0.55014,0.0826,-0.013533,0.0368
ag151024,nacc,food,trial12,0.020491,0.28668,-0.14473,0.038006
ag151024,nacc,food,trial13,0.2327,0.0067391,0.23845,0.21261
ag151024,nacc,food,trial14,0.45999,0.024227,0.48312,0.19359
ag151024,nacc,food,trial15,0.0071326,-0.24188,-0.26043,-0.21808
ag151024,nacc,food,trial16,0.36177,0.66729,0.19479,0.75471
ag151024,nacc,food,trial17,0.057328,-0.29183,0.012521,-0.09717
ag151024,nacc,food,trial18,0.19417,-0.17839,-0.1309,-0.25061
ag151024,nacc,food,trial2,0.53776,-0.15719,0.16206,0.074712
ag151024,nacc,food,trial3,0.0089689,0.14269,-0.13669,-0.36678
ag151024,nacc,food,trial4,0.11751,-0.038939,-0.035553,0.0072084
ag151024,nacc,food,trial5,0.028534,-0.38855,0.3114,0.15354
ag151024,nacc,food,trial6,-0.36725,-0.50331,-0.23093,-0.088557
ag151024,nacc,food,trial7,-0.090684,0.29664,0.47259,0.6576
ag151024,nacc,food,trial8,-0.39786,-0.57454,-0.081533,-0.33793
ag151024,nacc,food,trial9,0.76665,0.50453,-0.039323,0.16111
ag151024,nacc,neutral,trial1,-0.63941,-0.16065,-0.081493,-0.61961
ag151024,nacc,neutral,trial10,-0.51105,-0.027619,-0.10744,-0.13699
ag151024,nacc,neutral,trial11,0.23302,-0.95843,-0.16663,-0.48137
ag151024,nacc,neutral,trial12,0.28556,0.046189,0.13856,0.23228
ag151024,nacc,neutral,trial13,-0.10452,-0.49318,-0.28778,0.035795
ag151024,nacc,neutral,trial14,0.088446,0.12026,-0.15498,-0.45178
ag151024,nacc,neutral,trial15,0.351,0.4437,-0.042892,0.31246
ag151024,nacc,neutral,trial16,-0.47468,0.059464,-0.15629,-0.035155
ag151024,nacc,neutral,trial17,0.093372,-0.46728,0.11998,0.015299
ag151024,nacc,neutral,trial18,-0.072622,-0.041094,-0.22273,-0.07567
ag151024,nacc,neutral,trial2,0.39274,0.46278,0.44227,0.51922
ag151024,nacc,neutral,trial3,0.16735,0.034876,0.016342,-0.17809
ag151024,nacc,neutral,trial4,-0.28896,-0.36549,0.28709,0.3303
ag151024,nacc,neutral,trial5,-0.17099,-0.27383,0.6085,0.10714
ag151024,nacc,neutral,trial6,-0.22159,0.21183,0.066841,0.21949
ag151024,nacc,neutral,trial7,-0.899,-0.22368,0.21899,-0.21104
ag151024,nacc,neutral,trial8,0.047062,-0.4253,-1.7674,-1.4306
ag151024,nacc,neutral,trial9,0.58824,0.34036,-0.26692,-0.14392
al170316,nacc,drugs,trial1,-0.0019599,-0.071493,0.060688,0.35924
al170316,nacc,drugs,trial10,0.076886,0.17229,0.022258,-0.12603
al170316,nacc,drugs,trial11,-0.16347,-0.39979,-0.31102,-0.7845
al170316,nacc,drugs,trial12,-0.13333,-0.054687,-0.12493,-0.10855
al170316,nacc,drugs,trial13,-0.17387,-0.13264,-0.23052,0.0098478
al170316,nacc,drugs,trial14,-0.13561,0.31805,0.20726,-0.1177
al170316,nacc,drugs,trial15,-0.010223,-0.057585,0.29812,-0.013813
al170316,nacc,drugs,trial16,0.02589,-0.4131,-0.143,-0.095063
al170316,nacc,drugs,trial17,-0.024738,-0.12529,-0.0031223,-0.08643
al170316,nacc,drugs,trial18,0.068775,0.016947,-0.058674,-0.20162
al170316,nacc,drugs,trial2,0.12456,0.11743,0.0038451,0.13807
al170316,nacc,drugs,trial3,0.1653,0.35829,0.036641,0.28017
al170316,nacc,drugs,trial4,0.0959,0.10102,-0.2321,-0.15775
al170316,nacc,drugs,trial5,0.26041,-0.11676,-0.18266,0.02423
al170316,nacc,drugs,trial6,-0.076785,0.19594,0.54312,0.61405
al170316,nacc,drugs,trial7,0.23178,0.45534,0.19864,-0.061819
al170316,nacc,drugs,trial8,-0.088174,0.22257,0.064525,0.22878
al170316,nacc,drugs,trial9,0.24319,0.12834,0.010294,-0.28322
al170316,nacc,food,trial1,-0.081477,-0.17508,0.44878,-0.091497
al170316,nacc,food,trial10,-0.18617,0.040463,-0.15687,-0.34666
al170316,nacc,food,trial11,0.08638,0.38305,-0.183,-0.041381
al170316,nacc,food,trial12,-0.37355,-0.11866,0.089556,0.25123
al170316,nacc,food,trial13,-0.10992,-0.23868,-0.48178,-0.30627
al170316,nacc,food,trial14,0.23985,-0.13795,0.021764,0.053251
al170316,nacc,food,trial15,0.026772,0.17013,0.0030773,0.016262
al170316,nacc,food,trial16,0.16263,0.16735,0.098365,0.11264
al170316,nacc,food,trial17,-0.09683,-0.054692,0.25444,0.12535
al170316,nacc,food,trial18,0.14937,0.19923,0.086729,0.091223
al170316,nacc,food,trial2,0.15133,-0.26323,-0.11787,-0.40685
al170316,nacc,food,trial3,0.35436,-0.32235,0.076075,-0.15855
al170316,nacc,food,trial4,0.22847,0.25129,0.27614,-0.18174
al170316,nacc,food,trial5,-0.048915,-0.076029,-0.024299,0.11561
al170316,nacc,food,trial6,-0.31075,-0.13425,-0.048127,0.20748
al170316,nacc,food,trial7,0.18965,0.047176,-0.21709,-0.32854
al170316,nacc,food,trial8,-0.33531,0.17932,0.071551,-0.58326
al170316,nacc,food,trial9,0.14043,0.079406,-0.036022,0.1061
al170316,nacc,neutral,trial1,-0.36898,-0.31962,0.19457,-1.4507
al170316,nacc,neutral,trial10,0.089892,-0.17279,0.095454,0.29879
al170316,nacc,neutral,trial11,0.31578,0.0096127,-0.11278,-0.28045
al170316,nacc,neutral,trial12,-0.09668,0.11592,-0.014288,0.17628
al170316,nacc,neutral,trial13,0.068971,-0.27497,-0.29793,-0.1626
al170316,nacc,neutral,trial14,0.23242,0.15084,0.26226,0.3597
al170316,nacc,neutral,trial15,0.10901,0.26102,-0.1177,-0.2601
al170316,nacc,neutral,trial16,0.47927,0.022756,-1.5844,-0.10422
al170316,nacc,neutral,trial17,0.31909,0.055339,-0.54695,-0.17805
al170316,nacc,neutral,trial18,-0.15734,-0.078553,-0.092363,-0.07357
al170316,nacc,neutral,trial2,-0.22882,0.046257,-0.088037,0.26816
al170316,nacc,neutral,trial3,-0.014229,0.0038231,-0.15273,0.038014
al170316,nacc,neutral,trial4,-0.033178,-0.10387,-0.60449,-0.46822
al170316,nacc,neutral,trial5,-0.096129,0.05853,-0.40606,-0.069377
al170316,nacc,neutral,trial6,-0.053427,-0.0040418,-0.10632,0.0099334
al170316,nacc,neutral,trial7,0.074984,-0.078746,-0.06248,0.017135
al170316,nacc,neutral,trial8,0.02903,0.044116,-0.17951,0.26832
al170316,nacc,neutral,trial9,0.17435,0.11985,0.39921,-0.037351
